timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1704067200000000000,0.0032,0.0010,-0.0020,0.0100,0.0050,-0.0030
1704067200010000000,0.0041,0.0020,-0.0010,0.0120,0.0060,-0.0040
1704067200020000000,0.0028,0.0005,-0.0030,0.0090,0.0040,-0.0020
1704067200030000000,0.0035,0.0015,-0.0025,0.0110,0.0055,-0.0035
1704067200040000000,0.0029,0.0008,-0.0018,0.0095,0.0045,-0.0028
1704067200050000000,0.0038,0.0018,-0.0022,0.0105,0.0052,-0.0032
1704067200060000000,0.0033,0.0012,-0.0015,0.0098,0.0048,-0.0025
1704067200070000000,0.0045,0.0022,-0.0028,0.0115,0.0058,-0.0038
1704067200080000000,0.0027,0.0007,-0.0012,0.0088,0.0042,-0.0022
1704067200090000000,0.0039,0.0017,-0.0020,0.0102,0.0051,-0.0031
1704067200100000000,0.0031,0.0011,-0.0024,0.0108,0.0053,-0.0034
1704067200110000000,0.0042,0.0021,-0.0016,0.0113,0.0057,-0.0037
1704067200120000000,0.0026,0.0006,-0.0014,0.0085,0.0041,-0.0021
1704067200130000000,0.0037,0.0016,-0.0027,0.0107,0.0054,-0.0036
1704067200140000000,0.0030,0.0009,-0.0019,0.0093,0.0046,-0.0026
1704067200150000000,0.0043,0.0023,-0.0023,0.0116,0.0059,-0.0039
1704067200160000000,0.0025,0.0004,-0.0011,0.0082,0.0039,-0.0019
1704067200170000000,0.0036,0.0014,-0.0026,0.0104,0.0050,-0.0033
1704067200180000000,0.0034,0.0013,-0.0017,0.0099,0.0049,-0.0029
1704067200190000000,0.0040,0.0019,-0.0021,0.0109,0.0056,-0.0036
1704067200200000000,0.0028,0.0007,-0.0013,0.0091,0.0043,-0.0023
1704067200210000000,0.0044,0.0024,-0.0029,0.0118,0.0061,-0.0041
1704067200220000000,0.0033,0.0011,-0.0016,0.0097,0.0047,-0.0027
1704067200230000000,0.0038,0.0018,-0.0022,0.0106,0.0053,-0.0033
1704067200240000000,0.0030,0.0010,-0.0020,0.0100,0.0050,-0.0030
